,id,let,;,if,(,),for,{,},=,%=,print,input,return,function,coma,int,string,boolean,<,-,!,entero,cadena,$,S1,S,A,B,B1,C,D,F,F1,F2,F3,G,H,K,L,Q,T,X,E,E1,E3,
78,,,r40,,,r40,,,,,,,,,,r40,,,,r40,d55,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,r42,,,r42,,,,,,,,,,r42,,,,r42,r42,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,r45,,,r45,,,,,,,,,,r45,,,,r45,r45,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,d96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,r6,r6,,r6,,,r6,,r6,,,r6,r6,r6,r6,,,,,,,,,,r6,,,,,,,,,,,,,,,,,,,,,,
83,,,r10,,,,,,,,,,,,,,,,,d54,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,r7,r7,,r7,,,r7,,r7,,,r7,r7,r7,r7,,,,,,,,,,r7,,,,,,,,,,,,,,,,,,,,,,
85,,,d97,,,,,,,,,,,,,,,,,d54,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,r19,,,r19,,,,,,,,,,,,,,d54,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,r20,,,r20,,,,,,,,,,,,,,d54,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,r24,r24,,r24,,,r24,,,,,r24,r24,r24,r24,,,,,,,,,,r24,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,r25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,d17,d18,d19,,,,,,,,,,,,,,,,,,,,,,,98,,,,,
92,r12,r12,,r12,,,r12,,r12,,,r12,r12,r12,r12,,,,,,,,,,r12,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,r34,,,,,,,,,,d73,,,,d54,,,,,,,,,,,,,,,,,,,,,99,,,,,,
94,r15,r15,,r15,,,r15,,r15,,,r15,r15,r15,r15,,,,,,,,,,r15,,,,,,,,,,,,,,,,,,,,,,
95,r16,r16,,r16,,,r16,,r16,,,r16,r16,r16,r16,,,,,,,,,,r16,,,,,,,,,,,,,,,,,,,,,,
96,,,r47,,,r47,,,,,,,,,,r47,,,,r47,r47,,,,,,,,,,,,,,,,,,,,,,,,,,
97,d42,,r18,,,r18,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
98,d101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,r33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,d102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,r30,,,,,,,,,,d91,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,
102,,,,,,,,d104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,r29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,d9,d4,,d5,,,d7,,r26,,,d10,d11,d12,,,,,,,,,,,,,,,68,,6,,,,,,105,,,,,,,,,,
105,,,,,,,,,d106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,r9,r9,,r9,,,r9,,r9,,,r9,r9,r9,r9,,,,,,,,,,r9,,,,,,,,,,,,,,,,,,,,,,
